"Id","Player","FantPt","Season","Age","Team","G","GS","FantPt","PPR","FantPt","PPR/G","Pos"
1,"Ameer Abdullah","85.2",2024,31,"LVR",16,3,"85.2","125.2","5.33","7.83","RB"
2,"Yasir Abdullah","0.0",2024,24,"JAX",14,3,"0.0","0.0","0.00","0.00","LB"
3,"Micah Abernathy","0.0",2024,27,"ATL",6,0,"0.0","0.0","0.00","0.00","S"
4,"Johnathan Abram","0.0",2024,28,"NOR",3,0,"0.0","0.0","0.00","0.00","S"
5,"Kris Abrams-Draine","0.0",2024,23,"DEN",5,1,"0.0","0.0","0.00","0.00","CB"
6,"De'Von Achane","221.9",2024,23,"MIA",17,16,"221.9","299.9","13.05","17.64","RB"
7,"Davante Adams","156.3",2024,32,"NYJ,LVR",14,14,"156.3","241.3","11.16","17.24","WR"
8,"Isaiah Adams","0.0",2024,24,"ARI",15,5,"0.0","0.0","0.00","0.00","OL"
9,"Jamal Adams","0.0",2024,29,"DET,TEN",5,3,"0.0","0.0","0.00","0.00","DB"
10,"Matthew Adams","0.0",2024,29,"NYG",13,0,"0.0","0.0","0.00","0.00","LB"
11,"Montravius Adams","0.0",2024,29,"PIT",11,0,"0.0","0.0","0.00","0.00","DT"
12,"Myles Adams","0.0",2024,26,"DET,SEA",7,0,"0.0","0.0","0.00","0.00","DE"
13,"Tony Adams","0.0",2024,25,"NYJ",15,11,"0.0","0.0","0.00","0.00","FS"
14,"Tucker Addington","0.0",2024,27,"MIA,NWE",4,0,"0.0","0.0","0.00","0.00","LS"
15,"Jordan Addison","149.5",2024,22,"MIN",15,15,"149.5","212.5","9.97","14.17","WR"
16,"Adetomiwa Adebawore","0.0",2024,23,"IND",16,0,"0.0","0.0","0.00","0.00","DT"
17,"Paulson Adebo","0.0",2024,25,"NOR",7,7,"0.0","0.0","0.00","0.00","CB"
18,"Nate Adkins","29.5",2024,25,"DEN",17,10,"29.5","43.5","1.74","2.56","TE"
19,"Cal Adomitis","0.0",2024,26,"CIN",17,0,"0.0","0.0","0.00","0.00","LS"
20,"Nelson Agholor","35.1",2024,31,"BAL",14,7,"35.1","49.1","2.51","3.51","WR"
21,"Mitchell Agude","0.0",2024,25,"DET",4,0,"0.0","0.0","0.00","0.00","LB"
22,"Brandon Aiyuk","37.4",2024,26,"SFO",7,7,"37.4","62.4","5.34","8.91","WR"
23,"Cam Akers","79.2",2024,25,"HOU,MIN",17,2,"79.2","93.2","4.66","5.48","RB"
24,"Jordan Akins","51.0",2024,32,"CLE",17,6,"51.0","91.0","3.00","5.35","TE"
25,"Azeez Al-Shaair","0.0",2024,27,"HOU",11,11,"0.0","0.0","0.00","0.00","MLB"
